ID_Tecnico,Nombre_amigable,Descripcion_funcional,Unidad,Tipo_dato,Tipo_en_modelo,Tipo_variable,Mecanismos_asociados,Ecuacion,Rol_en_ecuacion,Rango_min,Rango_max,Distribucion_observada,Pregunta_planta
1GEV007CE,potencia_activa,Nivel de exigencia operativa del sistema,MW,float,Carga,Potencia,Vibraciones_mecanicas,Cap.2,Potencia que induce esfuerzos y vibraciones en el rotor,263.56,272.11,Multimodal simetrica colas cortas,¿Ubicacion? ¿Directa o calculada? ¿Frecuencia? ¿Precision? ¿Calibracion? ¿Retrasos?
1FSRFTB504,flujo_vapor_sobrecalentado,Caudal de vapor que incide en la turbina,t/h,float,Carga,Flujo,"SPE,Choque_termico,Fatiga_termica","(2.1),(2.11),(2.16),(2.17)",F_v en energia cinetica y velocidad del vapor,774.38,788.41,Multimodal asimetrica negativa colas largas,¿Ubicacion? ¿Directa o calculada? ¿Frecuencia? ¿Precision? ¿Calibracion? ¿Retrasos?
1FSRTE502C,temp_vapor_sobrecalentado_atemperador,Temp. del vapor despues del atemperador,°C,float,Carga,Temperatura,"Choque_termico,Fatiga_termica",Cap.2 - Transferencia de calor,T determina esfuerzos termicos y numero de Nusselt,401.19,403.35,Multimodal simetrica colas cortas,¿Ubicacion? ¿Contacto directo? ¿Frecuencia? ¿Precision? ¿Calibracion? ¿Retraso termico?
1FRSTE503A,temp_vapor_recalentado_salida,Temp. del vapor recalentado a salida caldera,°C,float,Carga,Temperatura,"Creep,Fatiga_termica,SPE","(2.8),(2.9),(2.12)",T afecta espesor de oxido y Larson-Miller,535.14,538.88,Multimodal simetrica colas cortas,¿Ubicacion? ¿Directa? ¿Frecuencia? ¿Precision? ¿Calibracion? ¿Radiacion?
1FSRPT501,presion_domo,Presion del domo de la caldera,bar,float,Carga,Presion,"Creep,SCC",Cap.2 - Esfuerzo circunferencial,P genera esfuerzos de membrana sigma_theta=P*r/t,171.45,174.16,Multimodal asimetrica negativa colas largas,¿Ubicacion? ¿Directa? ¿Frecuencia? ¿Precision? ¿Calibracion? ¿Pulsaciones?
1FSRPT504,presion_vapor_sobrecalentado_turbina,Presion del vapor a entrada de turbina,bar,float,Carga,Presion,"SPE,Creep","(2.14),(2.19)",P_tr para correccion de densidad y velocidad,165.28,166.80,Multimodal asimetrica negativa colas largas,¿Ubicacion? ¿Directa? ¿Frecuencia? ¿Precision? ¿Calibracion? ¿Vibraciones?
1FRSPT526,presion_vapor_entrada_recalentador,Presion del vapor antes del recalentamiento,bar,float,Carga,Presion,"Creep,Fatiga","(2.10)",P_T en calculo de espesor de oxido,29.51,30.38,Multimodal simetrica colas cortas,¿Ubicacion? ¿Directa? ¿Frecuencia? ¿Precision? ¿Calibracion? ¿Humedad?
Acero_CrMoV_LimFluencia,limite_fluencia_acero_rotor,Limite de fluencia del acero CrMoV,MPa,float,Resistencia,Propiedad_mecanica,"SPE,Creep,Fatiga_termica,SCC","(2.6),(2.11),(2.12)",sigma_y resistencia superficial contra erosion,350.0,450.0,Normal,¿Composicion? ¿Tratamiento termico? ¿Certificados? ¿Ensayos? ¿Precision? ¿Calibracion? ¿Ubicacion probetas?
Acero_CrMoV_ResFatiga,resistencia_fatiga_acero,Resistencia a fatiga corregida,MPa,float,Resistencia,Propiedad_mecanica,"Fatiga_termica,Vibraciones_mecanicas",sigma_n=Ca*Cb*Cc*Cd*Ce*sigma_n,Resistencia corregida por coeficientes,150.0,230.0,Normal,¿Coeficientes Ca-Ce? ¿Curvas S-N? ¿Temp. operacion? ¿Precision? ¿Calibracion? ¿Ubicacion?
Acero_CrMoV_ModElasticidad,modulo_elasticidad_acero,Modulo de Young del acero,GPa,float,Resistencia,Propiedad_mecanica,"Vibraciones_mecanicas,Fatiga_termica",sigma=E*epsilon,Modulo de Young para deformaciones elasticas,190.0,210.0,Normal,¿E a temp. operacion? ¿Curva E vs T? ¿Ensayo temp. elevada? ¿Tipo acero? ¿Precision? ¿Calibracion?
